Wavelength	BA RSR [watts]	stdev(RSR)
2037	-0.00001	-0.000065
2038	0.000037	0.000108
2039	0.000083	0.000281
2040	0.000131	0.000363
2041	0.000179	0.000389
2042	0.00024		0.000421
2043	0.000305	0.000457
2044	0.000368	0.000469
2045	0.00043		0.000465
2046	0.000512	0.00047
2047	0.000599	0.00048
2048	0.000704	0.00049
2049	0.000814	0.000498
2050	0.000947	0.00049
2051	0.001085	0.00047
2052	0.001222	0.000466
2053	0.00136		0.00047
2054	0.001546	0.000478
2055	0.001745	0.000488
2056	0.001964	0.000518
2057	0.002187	0.000561
2058	0.002439	0.000589
2059	0.002696	0.00061
2060	0.00301		0.000632
2061	0.003339	0.000653
2062	0.003733	0.000698
2063	0.004141	0.000755
2064	0.004627	0.000816
2065	0.005137	0.000881
2066	0.005728	0.00095
2067	0.006337	0.001022
2068	0.007139	0.001106
2069	0.007996	0.001198
2070	0.008903	0.001305
2071	0.009824	0.00142
2072	0.011005	0.001563
2073	0.012261	0.001723
2074	0.01361		0.001906
2075	0.014987	0.002104
2076	0.016872	0.002331
2077	0.018899	0.002576
2078	0.021		0.002874
2079	0.023121	0.003204
2080	0.025897	0.003586
2081	0.028847	0.003999
2082	0.032071	0.004518
2083	0.035363	0.005101
2084	0.040206	0.005681
2085	0.045432	0.006259
2086	0.050903	0.006982
2087	0.056429	0.007784
2088	0.06327		0.008776
2089	0.070409	0.00987
2090	0.079382	0.011083
2091	0.088907	0.012376
2092	0.10064		0.013828
2093	0.11283		0.015364
2094	0.128292	0.017088
2095	0.144668	0.018931
2096	0.162055	0.020973
2097	0.179714	0.023137
2098	0.20278		0.025348
2099	0.227234	0.027585
2100	0.253732	0.029746
2101	0.280925	0.031851
2102	0.311347	0.033978
2103	0.342526	0.036118
2104	0.377044	0.037944
2105	0.412621	0.039558
2106	0.45047		0.040587
2107	0.488816	0.041309
2108	0.522458	0.042146
2109	0.554715	0.043056
2110	0.593227	0.043047
2111	0.633521	0.042456
2112	0.663067	0.042467
2113	0.689664	0.04285
2114	0.722284	0.042668
2115	0.756529	0.042143
2116	0.776463	0.042754
2117	0.792667	0.044037
2118	0.813716	0.044047
2119	0.836001	0.043313
2120	0.846344	0.043678
2121	0.853714	0.044674
2122	0.867845	0.044309
2123	0.883615	0.043172
2124	0.886411	0.043482
2125	0.886127	0.044601
2126	0.895232	0.043821
2127	0.906527	0.041991
2128	0.909739	0.041297
2129	0.911091	0.041227
2130	0.917985	0.039531
2131	0.926131	0.036955
2132	0.929693	0.035871
2133	0.932227	0.035589
2134	0.936544	0.034456
2135	0.941406	0.03275
2136	0.942571	0.031929
2137	0.942952	0.031576
2138	0.943112	0.031307
2139	0.943194	0.031095
2140	0.945168	0.030791
2141	0.947537	0.030441
2142	0.948776	0.030067
2143	0.949694	0.029676
2144	0.949643	0.029863
2145	0.9494		0.030346
2146	0.952551	0.029591
2147	0.956635	0.028044
2148	0.953083	0.027911
2149	0.947423	0.028671
2150	0.949094	0.028659
2151	0.952773	0.028166
2152	0.950874	0.028248
2153	0.947477	0.028684
2154	0.947014	0.02887
2155	0.947085	0.028937
2156	0.951812	0.028491
2157	0.957717	0.027741
2158	0.953332	0.028402
2159	0.946412	0.029876
2160	0.947778	0.030047
2161	0.951119	0.029486
2162	0.951641	0.029167
2163	0.951518	0.02898
2164	0.948644	0.029451
2165	0.944956	0.030358
2166	0.942515	0.030808
2167	0.940311	0.031028
2168	0.9434		0.030694
2169	0.947923	0.030021
2170	0.94501		0.030125
2171	0.940213	0.030688
2172	0.938737	0.030975
2173	0.93806		0.031106
2174	0.941859	0.030493
2175	0.947019	0.029379
2176	0.946554	0.029318
2177	0.944482	0.029928
2178	0.947414	0.03
2179	0.951661	0.029747
2180	0.949283	0.030077
2181	0.945318	0.030737
2182	0.939939	0.031586
2183	0.934142	0.03256
2184	0.935493	0.03274
2185	0.93882		0.032423
2186	0.939253	0.032362
2187	0.938955	0.032449
2188	0.934675	0.033037
2189	0.929162	0.033966
2190	0.927085	0.034256
2191	0.925692	0.034224
2192	0.930508	0.034071
2193	0.936899	0.033847
2194	0.933908	0.033814
2195	0.927984	0.033911
2196	0.930981	0.03383
2197	0.936472	0.033638
2198	0.935776	0.034233
2199	0.933523	0.035287
2200	0.935132	0.036014
2201	0.937592	0.036566
2202	0.946217	0.036416
2203	0.956567	0.035832
2204	0.955661	0.035602
2205	0.951991	0.035575
2206	0.956666	0.035443
2207	0.963135	0.035254
2208	0.964442	0.035252
2209	0.964365	0.035366
2210	0.963523	0.03523
2211	0.962434	0.034919
2212	0.962905	0.034839
2213	0.963685	0.03488
2214	0.962473	0.03505
2215	0.960741	0.035299
2216	0.959239	0.035354
2217	0.957814	0.035273
2218	0.957781	0.035346
2219	0.958041	0.035499
2220	0.953274	0.035688
2221	0.94716		0.035898
2222	0.951706	0.036116
2223	0.958833	0.036338
2224	0.960212	0.036443
2225	0.960339	0.036488
2226	0.954785	0.036105
2227	0.947696	0.035458
2228	0.951965	0.035381
2229	0.95906		0.035632
2230	0.960554	0.035868
2231	0.960764	0.036095
2232	0.95575		0.036017
2233	0.949261	0.035744
2234	0.953245	0.035822
2235	0.95997		0.036111
2236	0.963736	0.036096
2237	0.966786	0.035911
2238	0.964315	0.035862
2239	0.960173	0.035903
2240	0.965473	0.035317
2241	0.973416	0.034337
2242	0.977637	0.033715
2243	0.980904	0.033303
2244	0.98276		0.032686
2245	0.984155	0.031926
2246	0.984693	0.031575
2247	0.985056	0.031438
2248	0.991486	0.0303
2249	0.9996		0.028541
2250	0.997654	0.028154
2251	0.993153	0.028567
2252	0.992469	0.028563
2253	0.992675	0.02833
2254	0.995894	0.027991
2255	1.0		0.027582
2256	0.999279	0.028024
2257	0.997261	0.028982
2258	0.994356	0.029725
2259	0.991127	0.030316
2260	0.987747	0.030653
2261	0.984349	0.030856
2262	0.986037	0.030744
2263	0.989132	0.030435
2264	0.984536	0.031023
