Wavelength	BA RSR [watts]	stdev(RSR)
625	-0.000342	-0.000364
626	0.00027		0.000114
627	0.000895	0.000477
628	0.00185		0.00047
629	0.003648	0.000514
630	0.007197	0.000668
631	0.014515	0.001066
632	0.030432	0.002135
633	0.066861	0.004894
634	0.148518	0.010724
635	0.299778	0.020014
636	0.526812	0.02582
637	0.764443	0.021512
638	0.905473	0.010452
639	0.947949	0.005548
640	0.950823	0.005701
641	0.947418	0.005444
642	0.951831	0.004804
643	0.962705	0.004118
644	0.975075	0.003013
645	0.984173	0.001838
646	0.983613	0.002307
647	0.983434	0.002691
648	0.982911	0.00372
649	0.973636	0.00484
650	0.959441	0.004656
651	0.955641	0.00399
652	0.955548	0.004097
653	0.953337	0.004213
654	0.956628	0.003756
655	0.981688	0.00234
656	1.0		0.00189
657	0.992388	0.002291
658	0.984615	0.003594
659	0.981568	0.004231
660	0.97696		0.004185
661	0.97298		0.003738
662	0.98108		0.003333
663	0.996804	0.003162
664	0.992142	0.00321
665	0.980678	0.002543
666	0.964002	0.003527
667	0.962154	0.005339
668	0.970778	0.004927
669	0.96718		0.006328
670	0.966928	0.006656
671	0.949928	0.00706
672	0.848855	0.01626
673	0.609359	0.030857
674	0.31635		0.028364
675	0.123946	0.013726
676	0.046033	0.00511
677	0.017702	0.001898
678	0.007333	0.000848
679	0.003205	0.000512
680	0.001402	0.000459
681	0.000554	0.000523
682	0.000117	0.000389
683	-0.000122	0.000388
684	-0.000289	0.000381
685	-0.000376	0.00039
686	-0.000396	0.000387
687	-0.000458	0.00039
688	-0.000488	0.000396
689	-0.000457	0.000394
690	-0.000429	0.000384
691	-0.000417	0.000391
