# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   100.03 4.4501e-29    101.62 0 
   101.89 7.7870e-29    103.51 0 
   104.02 1.2313e-28    105.68 0 
   105.96 1.9741e-28    107.65 0 
   107.93 3.1942e-28    109.65 0 
   109.93 5.8799e-28    111.69 0 
   114.06 1.3255e-27    115.88 0 
   118.07 2.7376e-27    119.95 0 
   121.10 1.3532e-26    123.03 0 
   125.06 2.5256e-26    127.06 0 
   127.10 3.3218e-26    129.12 0 
   127.98 3.8670e-26    130.02 0 
   130.96 5.6803e-26    133.05 0 
   131.87 7.3008e-26    133.97 0 
   134.01 9.2762e-26    136.14 0 
   137.13 1.5114e-25    139.32 0 
   140.00 2.1202e-25    142.23 0 
   142.93 6.9883e-25    145.21 0 
   146.94 2.2406e-24    149.28 0 
   151.05 3.2462e-24    153.46 0 
   154.93 4.7029e-24    157.40 0 
   158.90 6.7510e-24    161.44 0 
   161.86 8.7170e-24    164.44 0 
   166.01 1.2313e-23    168.66 0 
   169.88 1.6802e-23    172.58 0 
   173.03 2.1202e-23    175.79 0 
   177.07 2.8338e-23    179.89 0 
   179.94 3.5024e-23    182.81 0 
   182.03 4.0213e-23    184.93 0 
   185.84 5.2646e-23    188.80 0 
   191.04 7.2505e-23    194.09 0 
   194.15 8.7977e-23    197.24 0 
   198.21 1.1152e-22    201.37 0 
   201.90 1.4105e-22    205.12 0 
   205.18 1.6725e-22    208.45 0 
   209.96 2.1007e-22    213.30 0 
   215.84 2.9879e-22    219.28 0 
   219.85 3.6675e-22    223.36 0 
   222.91 4.1915e-22    226.46 0 
   227.06 5.1094e-22    230.67 0 
   230.21 8.6173e-22    233.88 0 
   233.96 1.6120e-21    237.68 0 
   239.96 2.4455e-21    243.78 0 
   246.11 2.8143e-21    250.03 0 
   251.84 3.6006e-21    255.86 0 
   257.12 3.5267e-21    261.22 0 
   260.10 4.4501e-21    264.24 0 
   263.71 5.2284e-21    267.92 0 
   269.24 6.0030e-21    273.53 0 
   274.24 6.8292e-21    278.61 0 
   278.70 7.7334e-21    283.14 0 
   283.88 8.7775e-21    288.40 0 
   289.82 9.6687e-21    294.44 0 
   295.89 1.1256e-20    300.61 0 
   300.70 1.2342e-20    305.49 0 
   307.70 1.4533e-20    312.61 0 
   317.78 1.8129e-20    322.85 0 
   328.20 2.1846e-20    333.43 0 
   338.17 2.5845e-20    343.56 0 
   347.64 3.0225e-20    353.18 0 
   357.38 3.4863e-20    363.08 0 
   365.71 4.0306e-20    371.54 0 
   375.09 4.5433e-20    381.07 0 
   384.71 4.9931e-20    390.84 0 
   394.58 5.8664e-20    400.87 0 
   404.70 6.6737e-20    411.15 0 
   414.13 7.3514e-20    420.73 0 
   421.83 7.9135e-20    428.55 0 
   429.67 8.5383e-20    436.52 0 
   440.69 9.6243e-20    447.71 0 
   450.95 1.0504e-19    458.14 0 
   460.40 1.1282e-19    467.74 0 
   470.04 1.2342e-19    477.53 0 
   479.88 1.3563e-19    487.53 0 
   489.93 1.4533e-19    497.74 0 
   500.19 1.6083e-19    508.16 0 
   505.98 2.0154e-19    514.04 0 
   511.84 5.1212e-19    520.00 0 
