# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   102.08 3.3368e-21    102.57 0 
   103.98 4.0676e-21    104.47 0 
   105.91 5.0738e-21    106.41 0 
   107.88 6.4318e-21    108.39 0 
   109.88 9.5133e-21    110.41 0 
   114.01 1.3751e-20    114.55 0 
   118.01 1.8721e-20    118.58 0 
   121.04 6.4615e-20    121.62 0 
   125.01 8.3817e-20    125.60 0 
   127.04 9.2968e-20    127.64 0 
   127.92 9.9388e-20    128.53 0 
   130.90 1.1411e-19    131.52 0 
   132.11 1.3407e-19    132.74 0 
   133.95 1.4599e-19    134.59 0 
   137.07 1.8721e-19    137.72 0 
   139.94 2.1200e-19    140.60 0 
   142.87 5.1800e-19    143.55 0 
   146.87 1.1758e-18    147.57 0 
   150.98 1.3284e-18    151.71 0 
   154.86 1.5112e-18    155.60 0 
   158.83 1.7192e-18    159.59 0 
   162.16 1.8808e-18    162.93 0 
   165.93 2.1347e-18    166.72 0 
   170.19 2.3732e-18    171.00 0 
   172.96 2.5783e-18    173.78 0 
   176.98 2.8466e-18    177.83 0 
   179.86 3.0643e-18    180.72 0 
   181.94 3.2161e-18    182.81 0 
   186.18 3.5264e-18    187.07 0 
   190.96 3.9385e-18    191.87 0 
   194.06 4.2299e-18    194.98 0 
   198.12 4.5744e-18    199.07 0 
   201.81 4.9697e-18    202.77 0 
   205.08 5.2763e-18    206.06 0 
   209.86 5.5505e-18    210.86 0 
   216.24 6.4318e-18    217.27 0 
   219.75 6.9077e-18    220.80 0 
   222.81 7.1835e-18    223.87 0 
   226.95 7.7327e-18    228.03 0 
   230.11 1.1922e-17    231.21 0 
   233.85 2.0292e-17    234.96 0 
   239.85 2.6142e-17    240.99 0 
   246.00 2.5665e-17    247.17 0 
   251.73 2.8011e-17    252.93 0 
   257.00 2.3952e-17    258.23 0 
   259.98 2.8270e-17    261.22 0 
   264.20 3.0223e-17    265.46 0 
   269.11 3.0856e-17    270.40 0 
   274.12 3.1357e-17    275.42 0 
   279.21 3.1793e-17    280.54 0 
   283.75 3.2459e-17    285.10 0 
   289.69 3.1574e-17    291.07 0 
   295.76 3.2684e-17    297.17 0 
   301.25 3.2384e-17    302.69 0 
   308.27 3.3445e-17    309.74 0 
   317.64 3.5021e-17    319.15 0 
   328.05 3.5672e-17    329.61 0 
   338.01 3.6003e-17    339.63 0 
   348.28 3.6169e-17    349.95 0 
   357.22 3.6588e-17    358.92 0 
   366.38 3.7526e-17    368.13 0 
   374.92 3.7613e-17    376.70 0 
   385.42 3.6503e-17    387.26 0 
   395.31 3.8489e-17    397.19 0 
   405.45 3.9658e-17    407.38 0 
   413.94 4.0117e-17    415.91 0 
   421.63 4.0117e-17    423.64 0 
   430.46 4.0396e-17    432.51 0 
   441.50 4.2691e-17    443.61 0 
   450.75 4.4089e-17    452.90 0 
   460.19 4.4395e-17    462.38 0 
   469.82 4.6487e-17    472.06 0 
   479.66 5.0738e-17    481.95 0 
   489.70 5.0855e-17    492.04 0 
   499.96 5.8659e-17    502.34 0 
   505.75 5.9749e-17    508.16 0 
   511.60 9.1271e-17    514.04 0 
   519.92 9.5793e-17    522.40 0 
   529.58 1.0077e-16    532.11 0 
   539.43 9.8024e-17    542.00 0 
   549.46 1.1438e-16    552.08 0 
   559.67 1.4768e-16    562.34 0 
   570.08 1.7472e-16    572.80 0 
   579.34 1.8379e-16    582.10 0 
   590.11 2.1298e-16    592.93 0 
   599.70 2.1006e-16    602.56 0 
   609.44 2.2874e-16    612.35 0 
   619.35 2.9739e-16    622.30 0 
   629.41 3.1502e-16    632.41 0 
   639.64 3.5837e-16    642.69 0 
   650.03 3.8756e-16    653.13 0 
   657.56 3.9476e-16    660.69 0 
   665.17 4.5116e-16    668.34 0 
   674.43 4.9812e-16    677.64 0 
   685.38 4.7790e-16    688.65 0 
   694.92 5.9612e-16    698.23 0 
   704.59 5.4367e-16    707.95 0 
   716.03 7.1012e-16    719.45 0 
   726.00 7.6266e-16    729.46 0 
   734.40 8.0972e-16    737.90 0 
   744.62 8.5967e-16    748.17 0 
   754.98 9.1271e-16    758.58 0 
   765.48 9.0019e-16    769.13 0 
   774.34 1.0407e-15    778.04 0 
   785.12 1.0503e-15    788.86 0 
   794.21 1.1623e-15    797.99 0 
   805.26 1.2426e-15    809.10 0 
   814.58 1.3132e-15    818.46 0 
   825.91 1.4104e-15    829.85 0 
   835.48 1.2032e-15    839.46 0 
   845.15 1.5217e-15    849.18 0 
   854.94 1.5716e-15    859.01 0 
   864.84 1.6956e-15    868.96 0 
   874.85 1.7920e-15    879.02 0 
   884.98 1.8894e-15    889.20 0 
   895.23 1.9785e-15    899.50 0 
   905.59 2.0153e-15    909.91 0 
   913.97 2.2926e-15    918.33 0 
   924.56 8.7364e-15    928.97 0 
   935.26 1.7153e-14    939.72 0 
   943.92 2.9671e-14    948.42 0 
   954.85 3.9295e-14    959.40 0 
   965.90 4.4293e-14    970.51 0 
   974.84 1.0170e-14    979.49 0 
   986.13 3.7182e-14    990.83 0 
   995.25 3.8312e-14   1000.00 0 
  1004.46 5.3007e-14   1009.25 0 
  1016.09 5.2159e-14   1020.94 0 
  1025.50 2.6628e-14   1030.39 0 
  1034.98 4.0210e-14   1039.92 0 
  1044.56 6.7505e-14   1049.54 0 
  1054.23 6.5213e-14   1059.25 0 
  1063.98 5.3129e-14   1069.05 0 
  1073.83 6.1707e-14   1078.95 0 
  1083.76 5.0855e-14   1088.93 0 
  1093.79 6.4615e-14   1099.01 0 
  1103.91 6.0860e-14   1109.18 0 
  1114.12 5.8794e-14   1119.44 0 
  1124.43 5.1920e-14   1129.80 0 
  1134.84 6.4764e-14   1140.25 0 
  1145.34 5.9887e-14   1150.80 0 
  1155.94 6.2278e-14   1161.45 0 
  1163.95 6.2999e-14   1169.50 0 
  1174.72 4.2789e-14   1180.32 0 
  1185.59 6.1707e-14   1191.24 0 
  1193.81 4.9242e-14   1199.50 0 
  1204.85 3.7613e-14   1210.60 0 
  1216.00 2.7563e-14   1221.80 0 
  1224.43 4.8121e-14   1230.27 0 
  1235.76 6.3290e-14   1241.65 0 
  1244.32 6.6273e-14   1250.26 0 
  1255.84 6.3875e-14   1261.83 0 
  1264.54 5.9475e-14   1270.57 0 
  1276.24 6.8760e-14   1282.33 0 
  1285.09 7.0199e-14   1291.22 0 
  1294.00 5.7721e-14   1300.17 0 
  1305.97 5.8930e-14   1312.20 0 
  1315.02 6.9396e-14   1321.30 0 
  1324.14 6.5816e-14   1330.45 0 
  1336.39 6.0720e-14   1342.77 0 
  1345.66 6.7816e-14   1352.07 0 
  1354.98 6.6273e-14   1361.44 0 
  1364.38 6.0720e-14   1370.88 0 
  1373.83 6.1565e-14   1380.38 0 
  1386.54 6.1707e-14   1393.16 0 
  1396.16 4.9927e-14   1402.81 0 
  1405.83 5.1326e-14   1412.54 0 
  1415.58 5.7854e-14   1422.33 0 
  1425.39 5.7588e-14   1432.19 0 
  1435.27 5.8930e-14   1442.12 0 
  1441.90 6.0720e-14   1448.77 0 
  1448.55 6.0720e-14   1455.46 0 
  1455.24 5.9065e-14   1462.18 0 
  1465.32 5.5377e-14   1472.31 0 
  1475.48 5.6019e-14   1482.52 0 
  1485.71 5.6277e-14   1492.79 0 
  1496.01 5.6277e-14   1503.14 0 
  1506.38 5.3129e-14   1513.56 0 
  1513.33 4.8232e-14   1520.55 0 
  1516.82 5.0505e-14   1524.05 0 
  1523.82 5.0389e-14   1531.09 0 
  1534.38 4.3988e-14   1541.70 0 
  1545.02 4.3685e-14   1552.39 0 
  1555.73 4.2593e-14   1563.15 0 
  1566.51 4.5639e-14   1573.98 0 
  1573.74 4.8566e-14   1581.25 0 
  1584.65 4.9812e-14   1592.21 0 
  1595.64 5.0273e-14   1603.25 0 
  1606.70 4.9697e-14   1614.36 0 
  1614.11 4.9355e-14   1621.81 0 
  1625.30 4.8010e-14   1633.05 0 
  1636.57 5.0621e-14   1644.37 0 
  1644.12 5.0855e-14   1651.96 0 
  1655.52 4.9128e-14   1663.41 0 
  1663.16 5.1562e-14   1671.09 0 
  1670.84 4.8121e-14   1678.80 0 
