# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   100.01 3.1662e-27    101.86 0 
   102.10 4.8902e-27    103.99 0 
   104.00 6.8728e-27    105.93 0 
   105.93 9.9525e-27    107.89 0 
   107.90 1.4445e-26    109.90 0 
   109.91 2.5382e-26    111.94 0 
   114.03 4.8095e-26    116.14 0 
   118.04 8.4467e-26    120.23 0 
   121.07 3.0930e-25    123.31 0 
   125.04 5.1996e-25    127.35 0 
   127.07 6.6033e-25    129.42 0 
   127.95 7.4932e-25    130.32 0 
   130.93 1.0456e-24    133.35 0 
   132.14 1.2742e-24    134.59 0 
   133.98 1.5742e-24    136.46 0 
   137.10 2.3374e-24    139.64 0 
   139.97 3.1436e-24    142.56 0 
   142.90 7.2799e-24    145.55 0 
   146.90 1.7207e-23    149.62 0 
   151.02 2.4171e-23    153.82 0 
   154.89 3.3954e-23    157.76 0 
   158.87 4.7258e-23    161.81 0 
   161.82 5.9865e-23    164.82 0 
   165.97 8.1609e-23    169.04 0 
   169.84 1.0848e-22    172.98 0 
   173.00 1.3397e-22    176.20 0 
   177.03 1.7482e-22    180.30 0 
   179.90 2.1198e-22    183.23 0 
   181.98 2.4048e-22    185.35 0 
   185.80 3.0738e-22    189.23 0 
   191.00 4.1128e-22    194.54 0 
   194.10 4.8957e-22    197.70 0 
   198.17 6.0869e-22    201.84 0 
   201.85 7.5164e-22    205.59 0 
   205.13 8.7835e-22    208.93 0 
   209.91 1.0844e-21    213.80 0 
   215.79 1.4913e-21    219.79 0 
   219.80 1.7953e-21    223.87 0 
   222.86 2.0315e-21    226.99 0 
   227.00 2.4288e-21    231.21 0 
   230.16 4.0837e-21    234.42 0 
   233.90 7.2221e-21    238.23 0 
   239.90 1.0790e-20    244.34 0 
   246.06 1.2229e-20    250.61 0 
   251.79 1.5198e-20    256.45 0 
   257.06 1.4429e-20    261.82 0 
   260.04 1.8236e-20    264.85 0 
   264.26 2.1109e-20    269.15 0 
   269.18 2.3821e-20    274.16 0 
   274.18 2.6695e-20    279.25 0 
   279.28 2.9641e-20    284.45 0 
   283.81 3.3145e-20    289.07 0 
   289.76 3.5957e-20    295.12 0 
   295.83 4.1129e-20    301.30 0 
   301.32 4.3708e-20    306.90 0 
   308.34 5.0678e-20    314.05 0 
   317.71 6.1777e-20    323.59 0 
   328.12 7.2564e-20    334.19 0 
   338.09 8.3687e-20    344.35 0 
   348.37 9.5403e-20    354.81 0 
   357.30 1.0805e-19    363.92 0 
   365.62 1.2266e-19    372.39 0 
   375.00 1.3574e-19    381.94 0 
   384.62 1.4611e-19    391.74 0 
   395.40 1.6808e-19    402.72 0 
   404.61 1.8730e-19    412.10 0 
   414.03 2.0301e-19    421.70 0 
   421.73 2.1562e-19    429.54 0 
   429.57 2.2900e-19    437.52 0 
   440.59 2.5272e-19    448.75 0 
   450.85 2.7135e-19    459.20 0 
   460.29 2.8675e-19    468.81 0 
   469.93 3.0723e-19    478.63 0 
   479.77 3.3143e-19    488.65 0 
   489.82 3.4697e-19    498.88 0 
   500.08 3.7685e-19    509.33 0 
   505.87 4.3007e-19    515.23 0 
   511.72 7.6541e-19    521.19 0 
   520.04 8.1280e-19    529.66 0 
   529.71 8.7281e-19    539.51 0 
   539.55 8.8072e-19    549.54 0 
   549.59 1.1501e-18    559.76 0 
   559.80 1.3919e-18    570.16 0 
   570.21 1.5975e-18    580.76 0 
   579.48 1.6085e-18    590.20 0 
   590.25 1.9644e-18    601.17 0 
   599.84 2.0709e-18    610.94 0 
   609.59 2.4495e-18    620.87 0 
   619.49 2.9307e-18    630.96 0 
   629.56 3.2422e-18    641.21 0 
   639.79 3.4253e-18    651.63 0 
   650.18 3.9494e-18    662.22 0 
   657.71 4.2627e-18    669.88 0 
   665.33 4.6433e-18    677.64 0 
   674.58 4.9180e-18    687.07 0 
   685.54 4.9952e-18    698.23 0 
   695.08 6.4339e-18    707.95 0 
   704.75 6.2860e-18    717.79 0 
   716.20 7.8357e-18    729.46 0 
   726.16 8.3742e-18    739.61 0 
   734.57 8.9123e-18    748.17 0 
   744.79 1.0205e-17    758.58 0 
   755.15 1.1108e-17    769.13 0 
   765.66 1.2007e-17    779.83 0 
   774.52 1.3379e-17    788.86 0 
   785.30 1.4763e-17    799.83 0 
   794.39 1.5745e-17    809.10 0 
   805.44 1.6783e-17    820.35 0 
   814.77 1.7774e-17    829.85 0 
   824.20 1.9847e-17    839.46 0 
   835.67 1.7273e-17    851.14 0 
   845.35 2.1839e-17    860.99 0 
   855.14 2.3073e-17    870.96 0 
   865.04 2.5232e-17    881.05 0 
   875.05 2.7528e-17    891.25 0 
   885.19 3.0310e-17    901.57 0 
   895.44 3.2463e-17    912.01 0 
   905.81 3.3433e-17    922.57 0 
   914.19 5.2262e-17    931.11 0 
   924.77 3.5722e-16    941.89 0 
   935.48 7.9924e-16    952.80 0 
   944.14 1.5763e-15    961.61 0 
   955.07 2.2406e-15    972.75 0 
   963.91 2.6872e-15    981.75 0 
   975.07 5.0697e-16    993.12 0 
   984.09 2.6297e-15   1002.31 0 
   995.49 2.7074e-15   1013.91 0 
  1004.70 3.7191e-15   1023.29 0 
  1013.99 3.5102e-15   1032.76 0 
