# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   100.05 1.1868e-36    103.99 0 
   101.91 2.7229e-36    105.93 0 
   104.05 5.5286e-36    108.14 0 
   105.98 1.1304e-35    110.15 0 
   107.95 2.3273e-35    112.20 0 
   109.96 5.3638e-35    114.29 0 
   114.09 1.8564e-34    118.58 0 
   118.10 5.7264e-34    122.74 0 
   121.12 4.1715e-33    125.89 0 
   125.09 1.1105e-32    130.02 0 
   127.13 1.7184e-32    132.13 0 
   128.01 2.1774e-32    133.05 0 
   130.99 4.0305e-32    136.14 0 
   131.90 5.6779e-32    137.09 0 
   134.04 8.3323e-32    139.32 0 
   136.85 1.7188e-31    142.23 0 
   140.03 2.9757e-31    145.55 0 
   142.97 1.2735e-30    148.59 0 
   146.97 5.1788e-30    152.76 0 
   151.09 9.6921e-30    157.04 0 
   154.96 1.7810e-29    161.06 0 
   158.94 3.2201e-29    165.20 0 
   161.89 4.9010e-29    168.27 0 
   166.05 8.5205e-29    172.58 0 
   169.92 1.4214e-28    176.60 0 
   173.07 2.0801e-28    179.89 0 
   177.11 3.3595e-28    184.08 0 
   179.98 4.7501e-28    187.07 0 
   182.07 5.9469e-28    189.23 0 
   185.88 9.2371e-28    193.20 0 
   191.09 1.5649e-27    198.61 0 
   194.19 2.1374e-27    201.84 0 
   197.80 3.1562e-27    205.59 0 
   201.94 4.6274e-27    209.89 0 
   205.23 6.1049e-27    213.30 0 
   210.01 9.1143e-27    218.27 0 
   215.89 1.5832e-26    224.39 0 
   219.90 2.2067e-26    228.56 0 
   222.96 2.7677e-26    231.74 0 
   227.11 3.7957e-26    236.05 0 
   229.74 6.4977e-26    238.78 0 
   234.01 1.2328e-25    243.22 0 
   240.01 2.2371e-25    249.46 0 
   246.17 3.0092e-25    255.86 0 
   251.90 4.5424e-25    261.82 0 
   257.18 5.0491e-25    267.30 0 
   260.15 6.8804e-25    270.40 0 
   263.77 8.9305e-25    274.16 0 
   269.30 1.1528e-24    279.90 0 
   274.30 1.4647e-24    285.10 0 
   278.76 1.8485e-24    289.73 0 
   283.94 2.3430e-24    295.12 0 
   289.89 2.9211e-24    301.30 0 
   295.96 3.8221e-24    307.61 0 
   300.77 4.5848e-24    312.61 0 
   307.77 6.1642e-24    319.89 0 
   317.86 9.1369e-24    330.37 0 
   328.27 1.3051e-23    341.19 0 
   338.25 1.8054e-23    351.56 0 
   347.72 2.4468e-23    361.41 0 
   356.64 3.2266e-23    370.68 0 
   365.79 4.2739e-23    380.19 0 
   375.17 5.4307e-23    389.94 0 
   384.80 6.7272e-23    399.94 0 
   394.67 9.0105e-23    410.20 0 
   404.79 1.1658e-22    420.73 0 
   414.22 1.4145e-22    430.53 0 
   421.92 1.6442e-22    438.53 0 
   429.77 1.9200e-22    446.68 0 
   440.79 2.4318e-22    458.14 0 
   451.06 2.9156e-22    468.81 0 
   460.50 3.3550e-22    478.63 0 
   470.14 3.9959e-22    488.65 0 
   479.99 4.7916e-22    498.88 0 
   490.04 5.4613e-22    509.33 0 
   500.30 6.5926e-22    520.00 0 
   506.09 7.4781e-22    526.02 0 
   511.96 1.3505e-21    532.11 0 
   520.27 1.5620e-21    540.75 0 
   529.95 1.8474e-21    550.81 0 
   539.80 2.0248e-21    561.05 0 
   549.83 3.0350e-21    571.48 0 
   560.06 4.0168e-21    582.10 0 
   570.47 5.1116e-21    592.93 0 
   579.74 5.5142e-21    602.56 0 
   590.52 7.6044e-21    613.76 0 
   600.11 8.8696e-21    623.73 0 
   609.86 1.1500e-20    633.87 0 
   619.77 1.4705e-20    644.17 0 
   629.84 1.7749e-20    654.64 0 
   640.08 1.9762e-20    665.27 0 
   650.48 2.5029e-20    676.08 0 
   658.01 2.9155e-20    683.91 0 
   665.63 3.2882e-20    691.83 0 
   674.89 3.6126e-20    701.46 0 
   684.28 3.9233e-20    711.21 0 
   695.40 5.6113e-20    722.77 0 
   705.07 5.8453e-20    732.82 0 
   716.53 7.6758e-20    744.73 0 
   726.49 8.6853e-20    755.09 0 
   734.91 9.7006e-20    763.84 0 
   745.13 1.1978e-19    774.46 0 
   755.50 1.3865e-19    785.24 0 
   764.24 1.5879e-19    794.33 0 
   774.88 1.8633e-19    805.38 0 
   785.65 2.1613e-19    816.58 0 
   794.75 2.4128e-19    826.04 0 
   805.81 2.6968e-19    837.53 0 
   815.14 2.9825e-19    847.23 0 
   824.58 3.5098e-19    857.04 0 
   834.13 3.0196e-19    866.96 0 
   845.73 4.1601e-19    879.02 0 
   855.52 4.5467e-19    889.20 0 
   865.43 5.2029e-19    899.50 0 
   875.45 5.9397e-19    909.91 0 
   885.59 6.8745e-19    920.45 0 
   895.84 7.6856e-19    931.11 0 
   904.13 8.0464e-19    939.72 0 
   914.60 1.3739e-18    950.60 0 
   925.19 1.0972e-17    961.61 0 
   935.91 2.5857e-17    972.75 0 
   944.57 5.3011e-17    981.75 0 
   955.50 8.0274e-17    993.12 0 
   964.34 9.2962e-17   1002.31 0 
   975.51 1.4042e-17   1013.91 0 
   984.54 8.1676e-17   1023.29 0 
   995.94 9.3355e-17   1035.14 0 
  1005.15 1.4884e-16   1044.72 0 
  1014.45 1.5077e-16   1054.39 0 
  1023.84 6.6349e-17   1064.14 0 
  1035.70 1.0907e-16   1076.47 0 
  1045.28 2.2971e-16   1086.43 0 
  1054.95 2.3421e-16   1096.48 0 
  1064.71 1.8621e-16   1106.62 0 
  1074.56 2.3461e-16   1116.86 0 
  1084.51 1.8650e-16   1127.20 0 
  1094.54 2.6605e-16   1137.63 0 
  1104.67 2.6621e-16   1148.15 0 
  1114.89 2.6329e-16   1158.78 0 
  1125.21 2.4412e-16   1169.50 0 
  1135.62 3.2866e-16   1180.32 0 
  1146.12 3.0539e-16   1191.24 0 
  1154.07 3.3935e-16   1199.50 0 
  1164.75 3.6197e-16   1210.60 0 
  1175.52 2.5157e-16   1221.80 0 
  1183.67 3.6930e-16   1230.27 0 
  1194.63 2.4563e-16   1241.65 0 
  1205.68 1.7424e-16   1253.14 0 
  1214.04 1.2439e-16   1261.83 0 
  1225.27 2.7075e-16   1273.50 0 
  1233.76 4.4170e-16   1282.33 0 
  1245.18 5.0797e-16   1294.20 0 
  1253.81 4.9813e-16   1303.17 0 
  1265.41 4.2557e-16   1315.22 0 
  1274.18 6.0035e-16   1324.34 0 
  1285.97 6.5606e-16   1336.60 0 
  1294.89 5.1918e-16   1345.86 0 
  1303.86 5.1128e-16   1355.19 0 
  1315.93 6.8559e-16   1367.73 0 
  1325.05 6.7505e-16   1377.21 0 
  1334.23 5.9783e-16   1386.76 0 
  1343.48 7.5646e-16   1396.37 0 
  1355.91 7.4304e-16   1409.29 0 
  1365.31 6.6704e-16   1419.06 0 
  1374.78 7.2988e-16   1428.89 0 
  1384.31 7.5217e-16   1438.80 0 
  1393.90 6.7975e-16   1448.77 0 
  1403.56 7.1837e-16   1458.81 0 
  1416.55 7.3163e-16   1472.31 0 
  1426.37 7.7841e-16   1482.52 0 
  1436.26 7.7640e-16   1492.79 0 
  1442.89 8.4137e-16   1499.69 0 
  1446.21 8.7484e-16   1503.14 0 
  1456.24 8.5651e-16   1513.56 0 
  1466.33 7.9341e-16   1524.05 0 
  1476.50 8.0209e-16   1534.62 0 
  1483.31 8.4336e-16   1541.70 0 
  1493.59 8.8039e-16   1552.39 0 
  1503.94 8.4779e-16   1563.15 0 
  1510.89 7.4991e-16   1570.36 0 
  1517.86 8.2170e-16   1577.61 0 
  1524.87 7.8776e-16   1584.89 0 
  1535.44 6.8530e-16   1595.88 0 
  1546.08 8.0228e-16   1606.94 0 
  1553.22 7.5845e-16   1614.36 0 
  1563.98 7.6965e-16   1625.55 0 
  1574.82 8.3679e-16   1636.82 0 
  1585.74 9.0134e-16   1648.16 0 
  1596.73 9.3780e-16   1659.59 0 
  1604.10 9.2804e-16   1667.25 0 
  1615.22 9.4342e-16   1678.80 0 
  1626.42 8.8878e-16   1690.44 0 
  1633.92 9.6640e-16   1698.24 0 
  1645.25 9.9806e-16   1710.02 0 
  1656.65 9.1222e-16   1721.87 0 
  1664.30 1.0265e-15   1729.82 0 
  1671.98 8.8636e-16   1737.80 0 
  1675.84 1.0357e-15   1741.81 0 
  1683.57 1.1103e-15   1749.85 0 
  1695.24 1.0427e-15   1761.98 0 
  1703.07 1.0053e-15   1770.11 0 
  1714.87 9.5713e-16   1782.38 0 
  1726.76 9.5844e-16   1794.73 0 
  1734.73 1.0389e-15   1803.02 0 
  1746.75 1.0235e-15   1815.52 0 
  1754.82 1.1170e-15   1823.90 0 
  1766.98 1.0102e-15   1836.54 0 
  1775.14 1.0600e-15   1845.02 0 
  1783.33 1.0893e-15   1853.53 0 
  1795.69 1.1813e-15   1866.38 0 
  1803.98 1.1780e-15   1874.99 0 
  1816.49 1.0920e-15   1887.99 0 
  1824.87 1.1218e-15   1896.71 0 
  1833.29 1.0803e-15   1905.46 0 
  1846.00 9.9193e-16   1918.67 0 
  1854.52 1.0070e-15   1927.53 0 
  1863.08 1.0461e-15   1936.42 0 
  1876.00 1.1437e-15   1949.84 0 
  1884.66 1.0611e-15   1958.84 0 
  1893.35 1.0283e-15   1967.89 0 
  1906.48 1.0831e-15   1981.53 0 
  1915.28 1.0567e-15   1990.67 0 
  1924.12 1.0501e-15   1999.86 0 
  1933.00 1.0850e-15   2009.09 0 
  1946.40 1.1290e-15   2023.02 0 
  1955.38 1.0661e-15   2032.36 0 
  1968.94 1.1719e-15   2046.45 0 
  1978.03 1.2075e-15   2055.89 0 
  1982.58 1.1452e-15   2060.63 0 
  1996.33 1.1085e-15   2074.91 0 
  2005.54 1.1471e-15   2084.49 0 
  2014.80 1.1026e-15   2094.11 0 
  2024.10 1.1646e-15   2103.78 0 
  2033.44 1.1063e-15   2113.49 0 
  2042.83 1.1602e-15   2123.24 0 
  2056.99 1.1038e-15   2137.96 0 
  2066.48 1.1077e-15   2147.83 0 
  2076.02 1.1882e-15   2157.74 0 
  2085.60 1.1703e-15   2167.70 0 
  2095.23 1.1082e-15   2177.71 0 
  2104.90 1.1141e-15   2187.76 0 
  2114.62 1.1224e-15   2197.86 0 
  2124.38 1.1436e-15   2208.01 0 
  2134.18 1.0505e-15   2218.20 0 
  2144.04 1.0850e-15   2228.44 0 
  2153.93 1.1282e-15   2238.72 0 
  2163.87 1.0896e-15   2249.05 0 
  2173.86 1.0767e-15   2259.44 0 
  2183.90 1.0564e-15   2269.86 0 
  2193.98 1.1105e-15   2280.34 0 
  2204.10 1.0743e-15   2290.87 0 
  2214.28 1.0179e-15   2301.44 0 
  2224.50 9.8082e-16   2312.07 0 
  2234.77 1.0621e-15   2322.74 0 
  2245.08 1.0198e-15   2333.46 0 
  2255.44 9.9738e-16   2344.23 0 
  2265.85 1.0381e-15   2355.05 0 
  2276.31 1.0829e-15   2365.92 0 
  2286.82 1.1219e-15   2376.84 0 
  2297.38 1.0773e-15   2387.81 0 
  2302.67 1.0790e-15   2393.32 0 
  2313.30 1.0433e-15   2404.36 0 
  2323.98 8.2378e-16   2415.46 0 
  2334.70 1.0005e-15   2426.61 0 
  2345.48 9.8311e-16   2437.81 0 
  2356.31 1.0765e-15   2449.06 0 
  2367.18 1.0033e-15   2460.37 0 
  2372.64 1.0450e-15   2466.04 0 
  2383.59 9.8298e-16   2477.42 0 
  2394.59 1.0690e-15   2488.86 0 
  2405.65 1.0337e-15   2500.35 0 
  2416.75 1.0711e-15   2511.89 0 
  2422.32 1.1391e-15   2517.68 0 
  2433.50 1.1040e-15   2529.30 0 
  2444.74 1.1842e-15   2540.97 0 
  2456.02 1.1719e-15   2552.70 0 
  2467.36 1.1839e-15   2564.48 0 
