Wavelength	BA RSR [watts]	stdev(RSR)
427	0.000073	0
428	0.000609	0.000086
429	0.001628	0.000143
430	0.003421	0.000274
431	0.008019	0.000606
432	0.024767	0.002033
433	0.085688	0.008333
434	0.254149	0.022668
435	0.517821	0.026035
436	0.765117	0.016377
437	0.908749	0.010562
438	0.958204	0.007447
439	0.977393	0.007081
440	0.98379		0.005655
441	0.989052	0.001909
442	0.986713	0.003349
443	0.993683	0.003059
444	0.993137	0.00172
445	1.0		0.003818
446	0.996969	0.00637
447	0.98278		0.004858
448	0.972692	0.005661
449	0.905808	0.017868
450	0.745606	0.028282
451	0.471329	0.024486
452	0.226412	0.012833
453	0.09286		0.006431
454	0.036603	0.003277
455	0.014537	0.001545
456	0.005829	0.000679
457	0.002414	0.000297
458	0.000984	0.000142
459	0.000255	0.000083
