# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   102.01 5.6132e-24    104.95 0 
   103.91 7.8562e-24    106.91 0 
   106.08 1.1148e-23    109.14 0 
   108.06 1.6077e-23    111.17 0 
   110.06 2.5835e-23    113.24 0 
   113.93 4.6688e-23    117.22 0 
   117.94 7.8561e-23    121.34 0 
   120.96 3.4057e-22    124.45 0 
   124.92 5.2025e-22    128.53 0 
   126.95 6.1974e-22    130.62 0 
   128.13 6.8899e-22    131.83 0 
   131.11 8.7742e-22    134.90 0 
   132.02 1.0870e-21    135.83 0 
   133.86 1.2624e-21    137.72 0 
   136.98 1.8206e-21    140.93 0 
   139.85 2.2450e-21    143.88 0 
   143.10 7.1980e-21    147.23 0 
   147.11 2.1788e-20    151.36 0 
   150.89 2.6928e-20    155.24 0 
   155.11 3.3513e-20    159.59 0 
   159.09 4.1515e-20    163.68 0 
   162.05 4.8329e-20    166.72 0 
   165.82 5.9595e-20    170.61 0 
   170.08 7.1484e-20    174.98 0 
   172.84 8.2075e-20    177.83 0 
   176.87 9.7322e-20    181.97 0 
   180.16 1.1021e-19    185.35 0 
   181.82 1.1946e-19    187.07 0 
   186.06 1.3970e-19    191.43 0 
   190.83 1.6874e-19    196.34 0 
   193.93 1.8976e-19    199.53 0 
   197.99 2.1738e-19    203.70 0 
   202.14 2.4958e-19    207.97 0 
   204.95 2.7619e-19    210.86 0 
   210.21 3.0847e-19    216.27 0 
   216.10 3.8744e-19    222.33 0 
   220.11 4.3773e-19    226.46 0 
   223.18 4.7012e-19    229.61 0 
   226.80 5.2992e-19    233.35 0 
   229.96 8.5548e-19    236.59 0 
   234.23 1.5248e-18    240.99 0 
   240.24 2.0569e-18    247.17 0 
   245.84 2.1292e-18    252.93 0 
   252.14 2.4672e-18    259.42 0 
   256.83 2.2398e-18    264.24 0 
   259.81 2.6743e-18    267.30 0 
   264.03 2.9526e-18    271.64 0 
   268.94 3.1348e-18    276.69 0 
   273.94 3.3205e-18    281.84 0 
   279.03 3.5092e-18    287.08 0 
   284.22 3.7086e-18    292.42 0 
   290.17 3.7689e-18    298.54 0 
   296.24 4.0758e-18    304.79 0 
   301.06 4.2287e-18    309.74 0 
   308.07 4.5626e-18    316.96 0 
   318.16 5.0724e-18    327.34 0 
   327.83 5.4854e-18    337.29 0 
   337.79 5.8642e-18    347.54 0 
   348.06 6.2260e-18    358.10 0 
