# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   100.09 5.5949e-18    100.23 0 
   101.95 6.4534e-18    102.09 0 
   104.08 6.8358e-18    104.23 0 
   106.02 7.5126e-18    106.17 0 
   107.99 8.3905e-18    108.14 0 
   110.00 1.1556e-17    110.15 0 
   114.12 1.3452e-17    114.29 0 
   118.13 1.4955e-17    118.30 0 
   120.89 3.9700e-17    121.06 0 
   125.13 4.4442e-17    125.31 0 
   126.87 4.6536e-17    127.06 0 
   128.05 4.7950e-17    128.23 0 
   131.03 5.0674e-17    131.22 0 
   131.94 5.6207e-17    132.13 0 
   134.08 5.8048e-17    134.28 0 
   136.89 6.6495e-17    137.09 0 
   140.08 7.0111e-17    140.28 0 
   143.01 1.2268e-16    143.22 0 
   147.02 2.0361e-16    147.23 0 
   151.14 2.1418e-16    151.36 0 
   155.02 2.2792e-16    155.24 0 
   158.99 2.4254e-16    159.22 0 
   161.95 2.5339e-16    162.18 0 
   166.10 2.6964e-16    166.34 0 
   169.97 2.8300e-16    170.22 0 
   173.13 2.9498e-16    173.38 0 
   177.16 3.0959e-16    177.42 0 
   180.04 3.2047e-16    180.30 0 
   182.13 3.2869e-16    182.39 0 
   185.94 3.4339e-16    186.21 0 
   191.15 3.6123e-16    191.43 0 
   193.81 3.7479e-16    194.09 0 
   197.87 3.8886e-16    198.15 0 
   202.01 4.0438e-16    202.30 0 
   204.82 4.1667e-16    205.12 0 
   210.08 4.2052e-16    210.38 0 
   215.96 4.5792e-16    216.27 0 
   219.98 4.7401e-16    220.29 0 
   223.04 4.8171e-16    223.36 0 
   227.18 4.9979e-16    227.51 0 
   229.81 7.4266e-16    230.14 0 
   234.09 1.2156e-15    234.42 0 
   240.09 1.4886e-15    240.44 0 
   246.25 1.4086e-15    246.60 0 
   251.99 1.4548e-15    252.35 0 
   257.26 1.2017e-15    257.63 0 
   260.24 1.3893e-15    260.62 0 
   263.86 1.4381e-15    264.24 0 
   268.77 1.4216e-15    269.15 0 
   273.76 1.3989e-15    274.16 0 
   278.85 1.3765e-15    279.25 0 
   284.04 1.3608e-15    284.45 0 
   289.99 1.2817e-15    290.40 0 
   296.06 1.2817e-15    296.48 0 
   300.87 1.2268e-15    301.30 0 
   307.88 1.2240e-15    308.32 0 
   317.96 1.2156e-15    318.42 0 
   327.62 1.1797e-15    328.10 0 
   338.36 1.1371e-15    338.84 0 
   347.84 1.0934e-15    348.34 0 
   356.76 1.0612e-15    357.27 0 
   365.91 1.0394e-15    366.44 0 
   375.30 1.0041e-15    375.84 0 
   384.92 9.3927e-16    385.48 0 
   394.80 9.3495e-16    395.37 0 
