Wavelength	BA RSR [watts]	stdev(RSR)
829	-0.000034	-0.000309
830	0.000011	0.000048
831	0.00005		0.000359
832	0.0001		0.000393
833	0.000239	0.000405
834	0.000314	0.000377
835	0.000495	0.000383
836	0.000719	0.00039
837	0.000986	0.000401
838	0.001445	0.000386
839	0.002107	0.000409
840	0.00316		0.000426
841	0.004744	0.000505
842	0.007059	0.000619
843	0.0109		0.000891
844	0.017346	0.001476
845	0.028332	0.002597
846	0.048191	0.00496
847	0.084363	0.009759
848	0.145365	0.017633
849	0.249733	0.030303
850	0.403526	0.043919
851	0.582623	0.049135
852	0.745037	0.036772
853	0.890315	0.020756
854	0.960215	0.006474
855	0.986833	0.00408
856	0.973133	0.006221
857	0.980606	0.004677
858	0.99612		0.002223
859	1.0		0.001416
860	0.989777	0.003135
861	0.980733	0.003784
862	0.975935	0.005028
863	0.972043	0.005596
864	0.957357	0.00745
865	0.951209	0.007991
866	0.947044	0.009135
867	0.953162	0.008585
868	0.951499	0.009336
869	0.94845		0.00919
870	0.940094	0.010652
871	0.950632	0.010052
872	0.956079	0.009926
873	0.96646		0.009416
874	0.969821	0.008139
875	0.93661		0.011572
876	0.891066	0.017599
877	0.788733	0.025606
878	0.63532		0.032347
879	0.448364	0.032288
880	0.288847	0.025616
881	0.174619	0.017249
882	0.100343	0.010665
883	0.058265	0.006255
884	0.034532	0.003632
885	0.02072		0.002106
886	0.01244		0.001285
887	0.007601	0.000796
888	0.004702	0.000512
889	0.002944	0.000386
890	0.00187		0.000323
891	0.001192	0.000293
892	0.000743	0.000278
893	0.000423	0.000268
894	0.000241	0.00025
895	0.000116	0.000252
896	0.000044	0.000245
897	-0.000013	0.000246
898	-0.00005	0.000253
899	-0.000084	0.000251
900	-0.0001		0.000243
