Wavelength	BA RSR [watts]	stdev(RSR)
512	-0.000046	-0.000165
513	0.000016	0.000026
514	0.00011		0.000194
515	0.000247	0.000193
516	0.000362	0.000197
517	0.000648	0.000197
518	0.000935	0.000201
519	0.001332	0.000201
520	0.001816	0.00019
521	0.002515	0.000202
522	0.003446	0.000206
523	0.00488		0.000224
524	0.007024	0.000266
525	0.010441	0.000347
526	0.016247	0.000495
527	0.025513	0.000751
528	0.041451	0.001249
529	0.070551	0.002254
530	0.123444	0.004148
531	0.21168		0.007046
532	0.353885	0.010847
533	0.545856	0.013434
534	0.741205	0.012004
535	0.865225	0.006964
536	0.927396	0.003757
537	0.954627	0.002951
538	0.954163	0.002802
539	0.959215	0.002718
540	0.961328	0.002714
541	0.964902	0.002708
542	0.969873	0.002588
543	0.952489	0.003426
544	0.961397	0.003168
545	0.97827		0.002323
546	0.977533	0.002266
547	0.977001	0.001816
548	0.980884	0.001408
549	0.990784	0.000915
550	1.0		0.000282
551	0.992264	0.001045
552	0.982642	0.001703
553	0.983832	0.001861
554	0.977765	0.001984
555	0.965081	0.002449
556	0.957314	0.002903
557	0.946245	0.003099
558	0.947871	0.00324
559	0.959038	0.002449
560	0.966534	0.002286
561	0.977656	0.001648
562	0.966447	0.001968
563	0.953399	0.002548
564	0.958314	0.002526
565	0.970039	0.002366
566	0.978607	0.002373
567	0.983397	0.002438
568	0.98096		0.002474
569	0.974522	0.00258
570	0.967229	0.002956
571	0.979406	0.002703
572	0.978208	0.002968
573	0.975818	0.00333
574	0.974392	0.003634
575	0.979973	0.003144
576	0.968827	0.003495
577	0.969181	0.003109
578	0.967838	0.003323
579	0.982956	0.00309
580	0.979598	0.003248
581	0.963811	0.003836
582	0.968886	0.003838
583	0.983655	0.003226
584	0.986657	0.003208
585	0.974207	0.003701
586	0.946407	0.005001
587	0.904478	0.006785
588	0.809275	0.00929
589	0.684974	0.011541
590	0.525304	0.013513
591	0.345364	0.013662
592	0.190467	0.010577
593	0.087833	0.005865
594	0.035393	0.002454
595	0.014077	0.00101
596	0.005944	0.000452
597	0.002574	0.000272
598	0.001046	0.000208
599	0.000394	0.000197
600	0.000085	0.0002
601	-0.000084	0.000203
602	-0.000194	0.0002
603	-0.000234	0.000195
604	-0.000292	0.000199
605	-0.000307	0.000196
606	-0.000343	0.000202
607	-0.000348	0.000192
608	-0.000329	0.000201
609	-0.000351	0.000196
610	-0.000317	0.0002
