Wavelength	BA RSR [watts]	stdev(RSR)
1340	-0.000003	-0.000045
1341	0.000086	0.00025
1342	0.000194	0.000322
1343	0.000321	0.000344
1344	0.000469	0.000369
1345	0.000647	0.000385
1346	0.000856	0.000423
1347	0.001119	0.000448
1348	0.001429	0.000481
1349	0.001828	0.000532
1350	0.002318	0.000545
1351	0.00303		0.000647
1352	0.004011	0.000821
1353	0.005398	0.001142
1354	0.007194	0.00157
1355	0.011124	0.00251
1356	0.016985	0.004027
1357	0.026321	0.006527
1358	0.042756	0.010946
1359	0.06922		0.017755
1360	0.115351	0.028525
1361	0.182833	0.040153
1362	0.316333	0.055068
1363	0.45703		0.063607
1364	0.596852	0.053694
1365	0.772118	0.041762
1366	0.862394	0.032736
1367	0.871575	0.024403
1368	0.930308	0.018329
1369	0.962664	0.015336
1370	0.931247	0.013065
1371	0.938676	0.009289
1372	0.983748	0.006696
1373	0.999626	0.003975
1374	0.986968	0.004167
1375	1.0		0.00356
1376	0.983239	0.005858
1377	0.990577	0.006223
1378	0.963584	0.009277
1379	0.964054	0.016472
1380	0.871343	0.022374
1381	0.872689	0.038836
1382	0.703198	0.052003
1383	0.606578	0.068534
1384	0.452434	0.068802
1385	0.29792		0.055496
1386	0.190978	0.0397
1387	0.113055	0.025193
1388	0.066174	0.014614
1389	0.041513	0.008996
1390	0.026084	0.005526
1391	0.016218	0.003426
1392	0.009774	0.002065
1393	0.006839	0.001463
1394	0.004358	0.001082
1395	0.00278		0.000852
1396	0.001809	0.000753
1397	0.001351	0.000661
1398	0.000887	0.000623
1399	0.000481	0.000655
1400	0.00022		0.000666
1401	0.000114	0.000567
1402	0.000029	0.000531
1403	-0.00007	0.000568
1404	-0.000178	0.00058
1405	-0.000182	0.000604
1406	-0.000238	0.000596
1407	-0.000272	0.000569
1408	-0.000296	0.000593
1409	-0.000308	0.000621
