   WAVE       FLUX       ERROR      RMS 
  309.300  -0.00233      2.75      2.75
  309.600      2.79      2.72      2.78
  309.900     -2.08      2.47      2.53
  310.200      -4.3      2.31      2.37
  310.500      3.65      2.46      2.51
  310.800      -4.7      2.12      2.19
  311.133      1.49      2.23      2.28
  311.500      7.97      2.36      2.41
  311.833     0.827      2.28      2.34
  312.200      2.65      2.28      2.33
  312.500     0.766      2.16      2.22
  312.800      1.07      2.11      2.17
  313.100      5.96      2.21      2.26
  313.400      4.22       2.1      2.16
  313.700      6.14      1.97      2.03
  314.100     0.541      1.68      1.74
  314.500       1.9      1.66      1.72
  314.800      3.15      1.66      1.72
  315.133      2.54      1.61      1.67
  315.500      1.74      1.55       1.6
  315.800     -2.89      1.37      1.44
  316.100      5.44      1.59      1.64
  316.433      2.89      1.49      1.55
  316.833     -1.35      1.32      1.38
  317.200      -3.3      1.24       1.3
  317.500      1.67      1.38      1.43
  317.800      4.15      1.44      1.49
  318.133      3.24      1.38      1.44
  318.500     -4.55      1.08      1.16
  318.800      3.19       1.3      1.35
  319.167    -0.224      1.17      1.24
  319.500     -3.28      1.07      1.13
  319.800      3.73      1.26      1.31
  320.133     0.341      1.15      1.21
  320.600      1.96      1.14       1.2
  320.900      2.41      1.13      1.19
  321.200     0.432      1.05      1.11
  321.500     0.652      1.05      1.11
  321.800     0.919      1.04       1.1
  322.100      1.23      1.03      1.09
  322.400     0.927     0.984      1.04
  322.700      3.52      1.05       1.1
  323.000      1.89      1.11      1.16
  323.300      1.14      1.09      1.15
  323.600      1.44      1.08      1.13
  323.900      2.92      1.09      1.15
  324.200      2.84      1.08      1.13
  324.500     0.646     0.983      1.05
  324.800     0.631     0.938     0.998
  325.100      2.75     0.911      0.97
  325.400      3.68     0.914     0.972
  325.700      1.36      0.84     0.902
  326.000    -0.058     0.784     0.845
  326.300      3.38     0.882     0.934
  326.600     0.102      0.77     0.835
  326.900      2.05      0.81     0.865
  327.833      4.41     0.888     0.941
  329.400      3.44      1.51      1.55
  329.700      2.71      1.26      1.32
  330.000      2.16      1.17      1.23
  330.300      1.83       1.1      1.16
  330.600      2.25      1.32      1.37
  330.900      1.92      1.15      1.22
  331.200      2.53       1.3      1.35
