lam lh1=14 lh1=16 lh1=17 lh1=17.25 lh1=17.5 lh1=17.75 lh1=18 lh1=18.25 lh1=18.5
 137  9.586e+35  6.395e+35  1.699e+34  7.930e+32  4.001e+30  5.291e+26  2.504e+20  2.392e+10  7.462e-07
 140  1.326e+38  8.648e+37  1.870e+36  7.332e+34  2.739e+32  2.181e+28  4.498e+21  1.067e+11  2.637e-07
 143  1.311e+38  8.351e+37  1.461e+36  4.790e+34  1.314e+32  6.208e+27  5.443e+20  3.043e+09  5.403e-10
 147  8.108e+37  4.998e+37  6.536e+35  1.676e+34  3.006e+31  6.928e+26  1.866e+19  1.399e+07  6.385e-14
 151  6.830e+37  4.071e+37  3.942e+35  7.839e+33  9.062e+30  9.933e+25  7.860e+17  7.191e+04  7.128e-18
 155  9.428e+37  5.429e+37  3.855e+35  5.898e+33  4.332e+30  2.203e+25  4.895e+16      498.0  9.080e-22
 159  2.120e+38  1.178e+38  6.080e+35  7.099e+33  3.266e+30  7.521e+24  4.486e+15      4.628  1.319e-25
 162  3.357e+37  1.815e+37  7.327e+34  6.949e+32  2.231e+29  2.790e+23  6.029e+13    0.01053  1.193e-29
 166  1.037e+37  5.401e+36  1.559e+34  1.113e+32  2.186e+28  1.187e+22  6.367e+11  9.616e-06  1.291e-34
 170  7.627e+35  3.824e+35  7.828e+32  4.176e+30  4.949e+26  1.139e+20  1.451e+09  1.735e-09  2.365e-40
 173  1.404e+38  6.834e+37  1.075e+35  4.586e+32  3.689e+28  4.393e+21  1.850e+10  3.118e-09  1.231e-41
 177  1.915e+38  8.959e+37  9.842e+34  3.097e+32  1.470e+28  7.128e+20  6.605e+08  7.575e-12  2.336e-46
 180  4.983e+37  2.261e+37  1.888e+34  4.707e+31  1.491e+27  3.632e+19  1.051e+07  1.520e-14  1.120e-50
 182  1.292e+37  5.744e+36  3.983e+33  8.485e+30  2.045e+26  3.125e+18  4.106e+05  1.455e-16  8.507e-54
 186  1.573e+38  6.704e+37  3.189e+34  4.932e+31  6.820e+26  4.035e+18  1.059e+05  2.122e-18  7.027e-58
 191  3.666e+37  1.481e+37  4.350e+33  4.466e+30  3.031e+25  5.315e+16      175.7  8.673e-23  3.683e-65
 194  1.184e+37  4.630e+36  1.012e+33  8.088e+29  3.550e+24  2.953e+15      2.731  1.379e-25  9.744e-70
 198  2.278e+38  8.519e+37  1.248e+34  7.100e+30  1.725e+25  5.216e+15     0.8516  1.925e-27  5.157e-74
 202  1.551e+38  5.543e+37  5.406e+33  2.175e+30  2.892e+24  3.113e+14   0.008625  8.112e-31  7.247e-80
 205  2.699e+37  9.319e+36  6.665e+32  2.059e+29  1.730e+23  8.472e+12  6.048e-05  4.998e-34  5.710e-85
 210  5.808e+37  1.892e+37  7.999e+32  1.580e+29  6.093e+22  7.831e+11  5.560e-07  7.307e-38  5.014e-92
 216  6.228e+38  1.889e+38  4.190e+33  4.781e+29  7.082e+22  1.757e+11  7.238e-09  5.743e-42 4.205e-100
 220  1.037e+38  2.996e+37  4.289e+32  3.369e+28  2.604e+21  2.108e+09  1.243e-11  3.012e-46 4.298e-107
 223  4.214e+38  1.173e+38  1.204e+33  7.122e+28  3.356e+21  1.159e+09  1.554e-12  2.636e-48 3.241e-111
 227  2.397e+38  6.346e+37  4.155e+32  1.676e+28  4.048e+20  4.417e+07  7.972e-15  3.694e-52 7.291e-118
 230  4.692e+38  1.196e+38  5.567e+32  1.679e+28  2.441e+20  1.110e+07  4.351e-16  1.301e-54 1.919e-122
 234  5.555e+38  1.346e+38  3.953e+32  8.051e+27  5.899e+19  8.217e+05  4.084e-18  2.998e-58 5.891e-129
 240  4.644e+38  1.041e+38  1.515e+32  1.696e+27  4.369e+18      9994.  2.107e-21  5.329e-64 4.196e-139
 246  2.595e+39  5.373e+38  3.825e+32  2.327e+27  2.063e+18      746.3  6.208e-24  4.756e-69 1.198e-148
 252  4.955e+39  9.464e+38  3.253e+32  1.063e+27  3.180e+17      17.53  5.362e-27  1.098e-74 7.107e-159
 257  8.795e+39  1.569e+39  2.911e+32  5.618e+26  6.698e+16     0.7488  1.386e-29  1.857e-79 1.527e-167
 260  2.246e+39  3.843e+38  4.905e+31  6.879e+25  4.690e+15    0.01990  6.691e-32  4.214e-83 1.487e-173
 264  4.833e+39  7.822e+38  6.033e+31  5.504e+25  1.769e+15   0.002034  6.858e-34  7.004e-87 1.590e-180
 269  4.267e+39  6.435e+38  2.625e+31  1.390e+25  1.724e+14  3.793e-05  6.931e-37  3.813e-92 7.817e-190
 274  1.106e+40  1.552e+39  3.321e+31  1.013e+25  4.787e+13  1.969e-06  1.865e-39  5.113e-97 8.251e-199
 279  4.681e+39  6.113e+38  6.805e+30  1.188e+24  2.111e+12  1.586e-08  7.458e-43 9.434e-103 1.047e-208
 284  4.078e+39  4.950e+38  2.844e+30  2.821e+23  1.862e+11  2.498e-10  5.586e-46 3.026e-108 2.025e-218
 290  2.719e+39  3.019e+38  7.763e+29  3.872e+22  7.666e+09  1.263e-12  6.913e-50 4.889e-115 2.380e-230
 296  4.059e+39  4.118e+38  4.686e+29  1.164e+22  6.793e+08  1.332e-14  1.682e-53 1.400e-121 4.128e-242
 301  6.745e+39  6.341e+38  3.628e+29  5.007e+21  1.042e+08  3.385e-16  1.768e-56 4.933e-127 5.690e-252
 308  5.429e+39  4.581e+38  9.887e+28  5.926e+20  2.856e+06  7.229e-19  4.088e-61 3.485e-135 2.211e-266
 318  8.930e+39  6.442e+38  3.370e+28  6.008e+19  3.448e+04  2.122e-22  1.640e-67 1.059e-146      0.000
 328  1.302e+40  8.005e+38  9.877e+27  5.111e+18      334.5  4.616e-26  4.204e-74 1.587e-158      0.000
 338  7.706e+39  4.027e+38  1.141e+27  1.676e+17      1.199  3.434e-30  3.196e-81 5.494e-171      0.000
 348  1.150e+40  5.095e+38  3.236e+26  1.319e+16   0.009912  5.468e-34  4.538e-88 2.800e-183      0.000
 357  2.341e+39  8.916e+37  1.445e+25  1.825e+14  1.747e-05  2.592e-38  3.464e-95 2.214e-195      0.000
 366  9.944e+39  3.250e+38  1.320e+25  5.085e+13  6.023e-07  2.274e-41 4.430e-101 2.463e-206      0.000
 375  9.392e+39  2.629e+38  2.633e+24  3.049e+12  4.346e-09  3.963e-45 1.024e-107 4.200e-218      0.000
 385  1.008e+40  2.371e+38  4.921e+23  1.475e+11  1.940e-11  2.666e-49 3.944e-115 2.681e-231      0.000
 395  7.144e+39  1.410e+38  5.965e+22  4.555e+09  5.369e-14  1.051e-53 8.051e-123 7.609e-245      0.000
 405  1.063e+40  1.757e+38  1.492e+22  2.864e+08  2.945e-16  7.802e-58 2.821e-130 3.160e-258      0.000
 414  1.055e+40  1.486e+38  2.942e+21  1.612e+07  1.808e-18  9.574e-62 3.274e-137 1.504e-270      0.000
 422  1.266e+40  1.545e+38  8.317e+20  1.484e+06  2.290e-20  3.638e-65 2.426e-143 1.534e-281      0.000
 430  8.946e+39  9.449e+37  1.375e+20  7.947e+04  1.666e-22  7.751e-69 9.657e-150      0.000      0.000
 441  9.223e+39  7.983e+37  1.907e+19      2320.  3.075e-25  1.077e-73 2.239e-158      0.000      0.000
 451  1.216e+40  8.776e+37  4.032e+18      118.2  1.256e-27  5.017e-78 3.652e-166      0.000      0.000
 460  9.150e+39  5.608e+37  5.825e+17      4.725  5.135e-30  3.595e-82 1.966e-173      0.000      0.000
 470  1.649e+40  8.426e+37  1.674e+17     0.3251  2.787e-32  2.147e-86 3.864e-181      0.000      0.000
 480  1.180e+40  5.028e+37  1.911e+16   0.008875  5.978e-35  5.012e-91 2.916e-189      0.000      0.000
 490  9.791e+39  3.636e+37  1.094e+36  9.432e+35  7.542e+35  5.281e+35  2.919e+35  1.052e+35  1.763e+34
 500  1.690e+40  1.411e+39  1.067e+39  9.408e+38  7.693e+38  5.495e+38  3.083e+38  1.123e+38  1.895e+37
 506  1.068e+40  4.863e+39  4.036e+39  3.602e+39  2.976e+39  2.144e+39  1.209e+39  4.405e+38  7.390e+37
 512  1.763e+40  1.507e+40  1.307e+40  1.175e+40  9.760e+39  7.044e+39  3.960e+39  1.428e+39  2.339e+38
 520  1.724e+40  1.675e+40  1.474e+40  1.325e+40  1.096e+40  7.838e+39  4.321e+39  1.501e+39  2.297e+38
 530  1.666e+40  1.636e+40  1.436e+40  1.284e+40  1.052e+40  7.387e+39  3.943e+39  1.294e+39  1.789e+38
 540  3.887e+39  3.808e+39  3.311e+39  2.939e+39  2.378e+39  1.634e+39  8.389e+38  2.572e+38  3.159e+37
 550  3.514e+39  3.459e+39  2.999e+39  2.651e+39  2.129e+39  1.441e+39  7.206e+38  2.102e+38  2.354e+37
 560  1.844e+40  1.814e+40  1.561e+40  1.371e+40  1.089e+40  7.225e+39  3.485e+39  9.538e+38  9.542e+37
 570  1.808e+40  1.777e+40  1.517e+40  1.324e+40  1.038e+40  6.745e+39  3.132e+39  8.015e+38  7.118e+37
 580  1.561e+40  1.522e+40  1.264e+40  1.082e+40  8.259e+39  5.145e+39  2.241e+39  5.189e+38  3.936e+37
 590  2.078e+40  2.028e+40  1.679e+40  1.432e+40  1.083e+40  6.626e+39  2.782e+39  5.997e+38  3.962e+37
 600  1.549e+40  1.518e+40  1.265e+40  1.081e+40  8.171e+39  4.967e+39  2.050e+39  4.254e+38  2.602e+37
 610  2.461e+40  2.410e+40  1.992e+40  1.689e+40  1.260e+40  7.488e+39  2.968e+39  5.727e+38  3.080e+37
 620  1.868e+40  1.828e+40  1.498e+40  1.261e+40  9.279e+39  5.382e+39  2.044e+39  3.657e+38  1.719e+37
 630  1.727e+40  1.687e+40  1.370e+40  1.144e+40  8.308e+39  4.701e+39  1.708e+39  2.827e+38  1.157e+37
 640  1.602e+40  1.564e+40  1.258e+40  1.042e+40  7.460e+39  4.115e+39  1.430e+39  2.183e+38  7.747e+36
 650  1.782e+40  1.738e+40  1.385e+40  1.138e+40  8.025e+39  4.314e+39  1.431e+39  2.012e+38  6.167e+36
 658  1.268e+40  1.235e+40  9.766e+39  7.970e+39  5.554e+39  2.922e+39  9.329e+38  1.226e+38  3.335e+36
 665  1.359e+40  1.323e+40  1.039e+40  8.429e+39  5.811e+39  3.000e+39  9.258e+38  1.146e+38  2.800e+36
 675  1.744e+40  1.696e+40  1.318e+40  1.060e+40  7.194e+39  3.612e+39  1.061e+39  1.203e+38  2.514e+36
 685  1.412e+40  1.372e+40  1.055e+40  8.407e+39  5.615e+39  2.740e+39  7.650e+38  7.925e+37  1.412e+36
 695  1.431e+40  1.389e+40  1.057e+40  8.343e+39  5.481e+39  2.597e+39  6.885e+38  6.504e+37  9.834e+35
 705  1.690e+40  1.638e+40  1.232e+40  9.640e+39  6.228e+39  2.864e+39  7.199e+38  6.186e+37  7.908e+35
 716  1.688e+40  1.634e+40  1.215e+40  9.401e+39  5.959e+39  2.650e+39  6.272e+38  4.845e+37  5.125e+35
 726  1.700e+40  1.644e+40  1.208e+40  9.256e+39  5.764e+39  2.484e+39  5.560e+38  3.889e+37  3.448e+35
 735  1.657e+40  1.600e+40  1.163e+40  8.831e+39  5.411e+39  2.265e+39  4.816e+38  3.074e+37  2.318e+35
 745  1.325e+40  1.277e+40  9.178e+39  6.896e+39  4.148e+39  1.680e+39  3.371e+38  1.940e+37  1.217e+35
 755  1.249e+40  1.203e+40  8.539e+39  6.348e+39  3.747e+39  1.468e+39  2.774e+38  1.436e+37  7.460e+34
 765  1.319e+40  1.268e+40  8.890e+39  6.538e+39  3.785e+39  1.433e+39  2.547e+38  1.183e+37  5.071e+34
 775  1.486e+40  1.427e+40  9.873e+39  7.181e+39  4.076e+39  1.490e+39  2.489e+38  1.035e+37  3.644e+34
 785  2.689e+39  2.578e+39  1.761e+39  1.266e+39  7.045e+38  2.484e+38  3.894e+37  1.446e+36  4.166e+33
 795  1.569e+40  1.503e+40  1.013e+40  7.198e+39  3.923e+39  1.334e+39  1.959e+38  6.484e+36  1.522e+34
 805  1.525e+40  1.458e+40  9.690e+39  6.808e+39  3.634e+39  1.190e+39  1.636e+38  4.812e+36  9.162e+33
 815  1.374e+40  1.312e+40  8.600e+39  5.970e+39  3.119e+39  9.833e+38  1.263e+38  3.295e+36  5.068e+33
 825  1.451e+40  1.383e+40  8.941e+39  6.130e+39  3.134e+39  9.503e+38  1.140e+38  2.629e+36  3.252e+33
 835  1.216e+40  1.158e+40  7.374e+39  4.993e+39  2.496e+39  7.276e+38  8.132e+37  1.656e+36  1.640e+33
 845  1.430e+40  1.358e+40  8.525e+39  5.699e+39  2.785e+39  7.798e+38  8.112e+37  1.454e+36  1.148e+33
 855  1.118e+40  1.061e+40  6.558e+39  4.327e+39  2.066e+39  5.552e+38  5.368e+37  8.448e+35  5.297e+32
 865  1.284e+40  1.216e+40  7.402e+39  4.820e+39  2.248e+39  5.792e+38  5.198e+37  7.165e+35  3.551e+32
 875  1.379e+40  1.303e+40  7.813e+39  5.019e+39  2.285e+39  5.642e+38  4.693e+37  5.653e+35  2.205e+32
 885  1.391e+40  1.312e+40  7.742e+39  4.905e+39  2.179e+39  5.151e+38  3.966e+37  4.164e+35  1.272e+32
 895  1.366e+40  1.287e+40  7.470e+39  4.667e+39  2.023e+39  4.574e+38  3.258e+37  3.234e+35  2.072e+34
 905  1.323e+40  1.244e+40  7.156e+39  4.466e+39  1.973e+39  5.355e+38  1.518e+38  1.124e+38  1.016e+38
 915  2.282e+40  2.156e+40  1.554e+40  1.302e+40  1.074e+40  9.289e+39  8.621e+39  8.246e+39  7.940e+39
 925  2.104e+40  2.024e+40  1.916e+40  1.894e+40  1.874e+40  1.856e+40  1.841e+40  1.827e+40  1.814e+40
 935  3.225e+40  3.147e+40  3.102e+40  3.094e+40  3.086e+40  3.078e+40  3.071e+40  3.064e+40  3.057e+40
 945  3.009e+40  2.964e+40  2.945e+40  2.941e+40  2.938e+40  2.934e+40  2.931e+40  2.928e+40  2.925e+40
 955  2.663e+40  2.639e+40  2.629e+40  2.627e+40  2.625e+40  2.624e+40  2.622e+40  2.620e+40  2.619e+40
 965  2.968e+40  2.953e+40  2.948e+40  2.947e+40  2.946e+40  2.945e+40  2.944e+40  2.944e+40  2.943e+40
 975  2.057e+40  2.020e+40  2.009e+40  2.006e+40  2.004e+40  2.001e+40  1.999e+40  1.997e+40  1.995e+40
 985  1.969e+40  1.968e+40  1.968e+40  1.968e+40  1.968e+40  1.968e+40  1.967e+40  1.967e+40  1.967e+40
 995  2.762e+40  2.762e+40  2.762e+40  2.762e+40  2.762e+40  2.762e+40  2.762e+40  2.762e+40  2.762e+40
1005  2.414e+40  2.414e+40  2.414e+40  2.414e+40  2.414e+40  2.414e+40  2.414e+40  2.414e+40  2.414e+40
1015  2.739e+40  2.736e+40  2.735e+40  2.734e+40  2.734e+40  2.734e+40  2.734e+40  2.733e+40  2.733e+40
1025  2.247e+40  2.198e+40  2.185e+40  2.181e+40  2.178e+40  2.175e+40  2.171e+40  2.167e+40  2.162e+40
1035  2.427e+40  2.421e+40  2.420e+40  2.419e+40  2.419e+40  2.418e+40  2.418e+40  2.417e+40  2.416e+40
1045  2.720e+40  2.720e+40  2.720e+40  2.720e+40  2.720e+40  2.720e+40  2.720e+40  2.720e+40  2.720e+40
1055  2.652e+40  2.652e+40  2.652e+40  2.652e+40  2.652e+40  2.652e+40  2.652e+40  2.652e+40  2.652e+40
1065  2.534e+40  2.534e+40  2.534e+40  2.534e+40  2.534e+40  2.534e+40  2.534e+40  2.534e+40  2.534e+40
1075  2.464e+40  2.464e+40  2.464e+40  2.464e+40  2.464e+40  2.464e+40  2.464e+40  2.464e+40  2.464e+40
1085  2.258e+40  2.258e+40  2.258e+40  2.258e+40  2.258e+40  2.258e+40  2.258e+40  2.258e+40  2.258e+40
1095  2.437e+40  2.437e+40  2.437e+40  2.437e+40  2.437e+40  2.437e+40  2.437e+40  2.437e+40  2.437e+40
1105  2.367e+40  2.367e+40  2.367e+40  2.367e+40  2.367e+40  2.367e+40  2.367e+40  2.367e+40  2.367e+40
1115  2.141e+40  2.141e+40  2.141e+40  2.141e+40  2.141e+40  2.141e+40  2.141e+40  2.141e+40  2.141e+40
1125  1.858e+40  1.858e+40  1.858e+40  1.858e+40  1.858e+40  1.858e+40  1.858e+40  1.858e+40  1.858e+40
1135  2.206e+40  2.206e+40  2.206e+40  2.206e+40  2.206e+40  2.206e+40  2.206e+40  2.206e+40  2.206e+40
1145  2.190e+40  2.190e+40  2.190e+40  2.190e+40  2.190e+40  2.190e+40  2.190e+40  2.190e+40  2.190e+40
1155  1.965e+40  1.965e+40  1.965e+40  1.965e+40  1.965e+40  1.965e+40  1.965e+40  1.965e+40  1.965e+40
1165  1.891e+40  1.891e+40  1.891e+40  1.891e+40  1.891e+40  1.891e+40  1.891e+40  1.891e+40  1.891e+40
1175  1.709e+40  1.709e+40  1.709e+40  1.709e+40  1.709e+40  1.709e+40  1.709e+40  1.709e+40  1.709e+40
1185  1.959e+40  1.959e+40  1.959e+40  1.958e+40  1.958e+40  1.958e+40  1.958e+40  1.958e+40  1.958e+40
1195  1.822e+40  1.822e+40  1.822e+40  1.822e+40  1.822e+40  1.822e+40  1.822e+40  1.822e+40  1.821e+40
1205  1.796e+40  1.794e+40  1.793e+40  1.793e+40  1.792e+40  1.791e+40  1.790e+40  1.787e+40  1.783e+40
1215  1.662e+40  1.630e+40  1.615e+40  1.609e+40  1.601e+40  1.589e+40  1.571e+40  1.544e+40  1.504e+40
1225  1.768e+40  1.765e+40  1.763e+40  1.762e+40  1.761e+40  1.759e+40  1.756e+40  1.752e+40  1.745e+40
1235  1.436e+40  1.436e+40  1.436e+40  1.436e+40  1.436e+40  1.436e+40  1.436e+40  1.436e+40  1.435e+40
1245  1.843e+40  1.843e+40  1.843e+40  1.843e+40  1.843e+40  1.843e+40  1.843e+40  1.843e+40  1.843e+40
1255  1.700e+40  1.700e+40  1.700e+40  1.700e+40  1.700e+40  1.700e+40  1.700e+40  1.700e+40  1.700e+40
1265  1.742e+40  1.742e+40  1.742e+40  1.742e+40  1.742e+40  1.742e+40  1.742e+40  1.742e+40  1.742e+40
1275  1.726e+40  1.726e+40  1.726e+40  1.726e+40  1.726e+40  1.726e+40  1.726e+40  1.726e+40  1.726e+40
1285  1.662e+40  1.662e+40  1.662e+40  1.662e+40  1.662e+40  1.662e+40  1.662e+40  1.662e+40  1.662e+40
1295  1.608e+40  1.608e+40  1.608e+40  1.608e+40  1.608e+40  1.608e+40  1.608e+40  1.608e+40  1.608e+40
1305  1.637e+40  1.637e+40  1.637e+40  1.637e+40  1.637e+40  1.637e+40  1.637e+40  1.637e+40  1.637e+40
1315  1.581e+40  1.581e+40  1.581e+40  1.581e+40  1.581e+40  1.581e+40  1.581e+40  1.581e+40  1.581e+40
1325  1.545e+40  1.545e+40  1.545e+40  1.545e+40  1.545e+40  1.545e+40  1.545e+40  1.545e+40  1.545e+40
1335  1.553e+40  1.553e+40  1.553e+40  1.553e+40  1.553e+40  1.553e+40  1.553e+40  1.553e+40  1.553e+40
1345  1.436e+40  1.436e+40  1.436e+40  1.436e+40  1.436e+40  1.436e+40  1.436e+40  1.436e+40  1.436e+40
1355  1.502e+40  1.502e+40  1.502e+40  1.502e+40  1.502e+40  1.502e+40  1.502e+40  1.502e+40  1.502e+40
1365  1.441e+40  1.441e+40  1.441e+40  1.441e+40  1.441e+40  1.441e+40  1.441e+40  1.441e+40  1.441e+40
1375  1.398e+40  1.398e+40  1.398e+40  1.398e+40  1.398e+40  1.398e+40  1.398e+40  1.398e+40  1.398e+40
1385  1.312e+40  1.312e+40  1.312e+40  1.312e+40  1.312e+40  1.312e+40  1.312e+40  1.312e+40  1.312e+40
1395  1.283e+40  1.283e+40  1.283e+40  1.283e+40  1.283e+40  1.283e+40  1.283e+40  1.283e+40  1.283e+40
1405  1.321e+40  1.321e+40  1.321e+40  1.321e+40  1.321e+40  1.321e+40  1.321e+40  1.321e+40  1.321e+40
1415  1.311e+40  1.311e+40  1.311e+40  1.311e+40  1.311e+40  1.311e+40  1.311e+40  1.311e+40  1.311e+40
1425  1.224e+40  1.224e+40  1.224e+40  1.224e+40  1.224e+40  1.224e+40  1.224e+40  1.224e+40  1.224e+40
1435  1.253e+40  1.253e+40  1.253e+40  1.253e+40  1.253e+40  1.253e+40  1.253e+40  1.253e+40  1.253e+40
1442  1.252e+40  1.252e+40  1.252e+40  1.252e+40  1.252e+40  1.252e+40  1.252e+40  1.252e+40  1.252e+40
1447  1.236e+40  1.236e+40  1.236e+40  1.236e+40  1.236e+40  1.236e+40  1.236e+40  1.236e+40  1.236e+40
1455  1.213e+40  1.213e+40  1.213e+40  1.213e+40  1.213e+40  1.213e+40  1.213e+40  1.213e+40  1.213e+40
1465  1.191e+40  1.191e+40  1.191e+40  1.191e+40  1.191e+40  1.191e+40  1.191e+40  1.191e+40  1.191e+40
1475  1.208e+40  1.208e+40  1.208e+40  1.208e+40  1.208e+40  1.208e+40  1.208e+40  1.208e+40  1.208e+40
1485  1.209e+40  1.209e+40  1.209e+40  1.209e+40  1.209e+40  1.209e+40  1.209e+40  1.209e+40  1.209e+40
1495  1.182e+40  1.182e+40  1.182e+40  1.182e+40  1.182e+40  1.182e+40  1.182e+40  1.182e+40  1.182e+40
1505  1.135e+40  1.135e+40  1.135e+40  1.135e+40  1.135e+40  1.135e+40  1.135e+40  1.135e+40  1.135e+40
1512  1.114e+40  1.114e+40  1.114e+40  1.114e+40  1.114e+40  1.114e+40  1.114e+40  1.114e+40  1.114e+40
1517  1.130e+40  1.130e+40  1.130e+40  1.130e+40  1.130e+40  1.130e+40  1.130e+40  1.130e+40  1.130e+40
1525  1.088e+40  1.088e+40  1.088e+40  1.088e+40  1.088e+40  1.088e+40  1.088e+40  1.088e+40  1.088e+40
1535  1.040e+40  1.040e+40  1.040e+40  1.040e+40  1.040e+40  1.040e+40  1.040e+40  1.040e+40  1.040e+40
1545  7.659e+39  7.659e+39  7.659e+39  7.659e+39  7.659e+39  7.659e+39  7.659e+39  7.659e+39  7.659e+39
1555  1.083e+40  1.083e+40  1.083e+40  1.083e+40  1.083e+40  1.083e+40  1.083e+40  1.083e+40  1.083e+40
1565  9.002e+39  9.002e+39  9.002e+39  9.002e+39  9.002e+39  9.002e+39  9.002e+39  9.002e+39  9.002e+39
1575  9.946e+39  9.946e+39  9.946e+39  9.946e+39  9.946e+39  9.946e+39  9.946e+39  9.946e+39  9.946e+39
1585  9.271e+39  9.271e+39  9.271e+39  9.271e+39  9.271e+39  9.271e+39  9.271e+39  9.271e+39  9.271e+39
1595  9.765e+39  9.765e+39  9.765e+39  9.765e+39  9.765e+39  9.765e+39  9.765e+39  9.765e+39  9.765e+39
1605  9.406e+39  9.406e+39  9.406e+39  9.406e+39  9.406e+39  9.406e+39  9.406e+39  9.406e+39  9.406e+39
1615  9.305e+39  9.305e+39  9.305e+39  9.305e+39  9.305e+39  9.305e+39  9.305e+39  9.305e+39  9.305e+39
1625  9.077e+39  9.077e+39  9.077e+39  9.077e+39  9.077e+39  9.077e+39  9.077e+39  9.077e+39  9.077e+39
1635  8.962e+39  8.962e+39  8.962e+39  8.962e+39  8.962e+39  8.962e+39  8.962e+39  8.962e+39  8.962e+39
1645  9.911e+39  9.911e+39  9.911e+39  9.911e+39  9.911e+39  9.911e+39  9.911e+39  9.911e+39  9.911e+39
1655  8.960e+39  8.960e+39  8.960e+39  8.960e+39  8.960e+39  8.960e+39  8.960e+39  8.960e+39  8.960e+39
1665  8.968e+39  8.968e+39  8.968e+39  8.968e+39  8.968e+39  8.968e+39  8.968e+39  8.968e+39  8.968e+39
1672  8.658e+39  8.658e+39  8.658e+39  8.658e+39  8.658e+39  8.658e+39  8.658e+39  8.658e+39  8.658e+39
1677  8.891e+39  8.891e+39  8.891e+39  8.891e+39  8.891e+39  8.891e+39  8.891e+39  8.891e+39  8.891e+39
1685  8.757e+39  8.757e+39  8.757e+39  8.757e+39  8.757e+39  8.757e+39  8.757e+39  8.757e+39  8.757e+39
1695  8.549e+39  8.549e+39  8.549e+39  8.549e+39  8.549e+39  8.549e+39  8.549e+39  8.549e+39  8.549e+39
1705  8.321e+39  8.321e+39  8.321e+39  8.321e+39  8.321e+39  8.321e+39  8.321e+39  8.321e+39  8.321e+39
1715  7.662e+39  7.662e+39  7.662e+39  7.662e+39  7.662e+39  7.662e+39  7.662e+39  7.662e+39  7.662e+39
1725  8.218e+39  8.218e+39  8.218e+39  8.218e+39  8.218e+39  8.218e+39  8.218e+39  8.218e+39  8.218e+39
1735  8.112e+39  8.112e+39  8.112e+39  8.112e+39  8.112e+39  8.112e+39  8.112e+39  8.112e+39  8.112e+39
1745  7.685e+39  7.685e+39  7.685e+39  7.685e+39  7.685e+39  7.685e+39  7.685e+39  7.685e+39  7.685e+39
1755  7.918e+39  7.918e+39  7.918e+39  7.918e+39  7.918e+39  7.918e+39  7.918e+39  7.918e+39  7.918e+39
1765  7.732e+39  7.732e+39  7.732e+39  7.732e+39  7.732e+39  7.732e+39  7.732e+39  7.732e+39  7.732e+39
1775  7.551e+39  7.551e+39  7.551e+39  7.551e+39  7.551e+39  7.551e+39  7.551e+39  7.551e+39  7.551e+39
1785  7.484e+39  7.484e+39  7.484e+39  7.484e+39  7.484e+39  7.484e+39  7.484e+39  7.484e+39  7.484e+39
1795  7.379e+39  7.379e+39  7.379e+39  7.379e+39  7.379e+39  7.379e+39  7.379e+39  7.379e+39  7.379e+39
1805  7.286e+39  7.286e+39  7.286e+39  7.286e+39  7.286e+39  7.286e+39  7.286e+39  7.286e+39  7.286e+39
1815  7.123e+39  7.123e+39  7.123e+39  7.123e+39  7.123e+39  7.123e+39  7.123e+39  7.123e+39  7.123e+39
